,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2457: Average family size of couple economic families with children,v_CA16_2459: Median total income of lone-parent economic families in 2015 ($),v_CA16_2461: Average family size of lone-parent economic families,v_CA16_2465: Median total income in 2015 for persons aged 15 years and over not in economic families ($),v_CA16_2510: Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,"v_CA16_2525: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_2555: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
101,125,5350083.0,CT,Toronto,0.44642,4052,1908,1822,3.9,63104,2.6,20437,4045,765,18.9,715,17.7
102,120,5350084.0,CT,Toronto,0.40903,3810,1613,1498,3.9,75264,2.5,28864,3670,405,11,385,10.5
103,135,5350085.0,CT,Toronto,0.49901,3994,2154,2078,3.8,70912,2.6,34944,3970,635,16,585,14.7
104,25,5350086.0,CT,Toronto,1.1385,2661,965,921,4,131755,2.6,49792,2655,170,6.4,170,6.4
105,135,5350087.0,CT,Toronto,1.60971,5155,2652,2491,4,118016,2.4,65152,5090,415,8.2,385,7.6
106,40,5350088.0,CT,Toronto,0.22973000000000002,3249,1997,1821,3.4,52224,2.3,48102,3100,575,18.5,555,17.9
107,35,5350089.0,CT,Toronto,0.32969,3896,2995,2345,3.5,52992,2.2,56480,3670,740,20.2,685,18.7
108,55,5350090.0,CT,Toronto,0.39427,4144,2584,2347,3.7,88832,2.2,51925,3925,585,14.9,505,12.9
109,245,5350091.01,CT,Toronto,0.51145,6031,3639,3224,3.5,63936,2.4,37664,5320,1140,21.4,1150,21.6
110,230,5350091.02,CT,Toronto,0.32714,3525,2288,2009,3.7,45440,2.6,26453,3335,920,27.6,925,27.7
111,560,5350092.0,CT,Toronto,0.62885,7278,4113,3718,3.7,62080,2.4,30318,7060,1265,17.9,1410,20
112,550,5350093.0,CT,Toronto,0.61785,5652,2490,2291,3.8,69888,2.5,29824,5330,595,11.2,735,13.8
113,370,5350094.0,CT,Toronto,0.6389199999999999,4950,2177,2048,3.9,57173,2.6,26125,4935,720,14.6,770,15.6
114,270,5350095.0,CT,Toronto,0.31549,3095,1392,1319,3.9,61440,2.5,25765,3070,390,12.7,460,15
115,135,5350096.01,CT,Toronto,0.20052999999999999,1658,694,658,3.9,67840,2.6,24213,1660,230,13.9,245,14.8
116,240,5350096.02,CT,Toronto,0.34918000000000005,3336,1494,1398,3.9,61696,2.6,27349,3295,480,14.6,515,15.6
117,215,5350097.01,CT,Toronto,0.3825,4322,1758,1621,4.1,48256,2.7,22176,4150,875,21.1,895,21.6
118,45,5350097.03,CT,Toronto,0.17179,1207,783,679,4.1,37248,2.5,16288,1205,535,44.4,505,41.9
119,230,5350097.04,CT,Toronto,0.32489,5462,2528,2392,3.9,55680,2.6,33061,5375,875,16.3,860,16
120,305,5350098.0,CT,Toronto,0.71535,7099,3123,3002,3.9,50987,2.6,23497,7095,1335,18.8,1245,17.5
121,230,5350099.0,CT,Toronto,0.5813,6585,3380,3241,3.7,57600,2.4,28432,6550,1360,20.8,1250,19.1
122,135,5350100.0,CT,Toronto,0.28925,2956,1492,1432,3.7,57984,2.5,38016,2855,435,15.2,395,13.8
123,155,5350101.0,CT,Toronto,0.43013999999999997,3128,1595,1464,3.8,53952,2.5,33621,3110,395,12.7,430,13.8
124,65,5350102.02,CT,Toronto,0.11565999999999999,4313,2688,2535,3.6,43008,2.4,35712,4250,1105,26,980,23.1
125,80,5350102.03,CT,Toronto,0.13087000000000001,3682,2178,2095,3.6,56064,2.4,49216,3675,635,17.3,560,15.2
126,15,5350102.04,CT,Toronto,0.10128999999999999,671,309,285,3.9,0,2.3,36480,670,55,8.2,65,9.7
127,30,5350102.05,CT,Toronto,0.11899000000000001,861,359,340,3.8,0,3,32192,855,65,7.6,75,8.8
128,145,5350103.0,CT,Toronto,0.83794,6050,2627,2527,3.8,88064,2.6,47360,5820,385,6.6,370,6.4
129,130,5350104.0,CT,Toronto,0.73732,5525,2141,2054,3.8,87808,2.5,45120,5520,355,6.4,315,5.7
130,200,5350105.0,CT,Toronto,0.55453,4509,1917,1790,3.8,64640,2.6,32853,4355,510,11.7,495,11.4
131,35,5350106.0,CT,Toronto,1.37076,3773,1427,1343,4.1,58240,2.9,23424,3760,560,14.9,540,14.4
132,70,5350107.0,CT,Toronto,0.71899,5085,1880,1751,4.1,59648,2.9,22997,5085,680,13.4,620,12.2
133,135,5350108.0,CT,Toronto,0.73607,6013,2679,2475,4.1,43552,2.9,18121,6010,1580,26.3,1435,23.9
134,170,5350109.0,CT,Toronto,0.62602,5496,2299,2203,3.8,57216,2.5,31616,5495,765,13.9,690,12.6
135,60,5350110.0,CT,Toronto,0.5455399999999999,3577,1557,1434,3.9,54656,2.5,26480,3580,525,14.7,540,15.1
136,25,5350111.0,CT,Toronto,0.45581000000000005,2507,968,902,3.9,54912,2.8,26304,2500,260,10.4,250,10
137,140,5350112.0,CT,Toronto,0.5017199999999999,5295,2181,2035,3.8,58880,2.6,24704,5265,710,13.5,675,12.8
138,130,5350113.0,CT,Toronto,0.38225,2754,1197,1118,3.9,56320,2.6,26965,2735,390,14.3,400,14.6
139,190,5350114.0,CT,Toronto,0.62462,5349,2471,2369,3.8,54208,2.5,23712,5120,900,17.6,825,16.1
140,240,5350115.0,CT,Toronto,0.37543000000000004,4372,1670,1597,3.9,56576,2.8,25536,3980,665,16.7,625,15.7
141,180,5350116.0,CT,Toronto,0.67913,4628,2044,1921,3.8,61312,2.4,31456,4090,635,15.5,605,14.8
142,70,5350117.0,CT,Toronto,0.39107,2211,1165,1106,3.7,72960,2.3,38272,2210,290,13.1,305,13.8
143,100,5350118.0,CT,Toronto,0.69384,4127,2183,1990,3.8,63360,2.4,49504,4020,460,11.4,440,10.9
144,45,5350119.0,CT,Toronto,0.8519,4630,2485,2310,4,73984,2.5,46720,4555,600,13.2,515,11.3
145,30,5350120.0,CT,Toronto,0.25722,1381,697,654,3.7,136704,2.4,51840,1380,130,9.4,115,8.3
146,10,5350121.0,CT,Toronto,0.29736,2659,1629,1448,3.6,114432,2.4,59840,2520,285,11.3,285,11.3
147,90,5350122.0,CT,Toronto,0.53381,6220,3655,3443,3.8,81664,2.3,51840,6215,725,11.7,715,11.5
148,25,5350123.0,CT,Toronto,0.07501000000000001,2268,1494,1467,3.5,49920,2.3,44672,2260,460,20.4,385,17
149,75,5350124.0,CT,Toronto,0.55675,5416,3470,3278,3.7,87296,2.4,55893,5325,725,13.6,650,12.2
150,50,5350125.0,CT,Toronto,1.12047,4442,1618,1543,4,171520,2.7,53152,4445,225,5.1,235,5.3
