,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_504: Total - Private households by household type - 100% data,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2297: Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2348: Without employment income,v_CA16_2351: With employment income,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2400: Median total income of one-person households in 2015 ($),v_CA16_2401: Median after-tax income of one-person households in 2015 ($),v_CA16_2403: Median total income of two-or-more-person households in 2015 ($),v_CA16_2404: Median after-tax income of two-or-more-person households in 2015 ($)
120,305,5350098.0,CT,Toronto,0.71535,7099,3123,3002,3000,6095,6095,6095,1690,4410,3000,23595,22592,88804,77678
121,230,5350099.0,CT,Toronto,0.5813,6585,3380,3241,3240,5630,5630,5630,1325,4305,3240,32112,29109,86221,75605
122,135,5350100.0,CT,Toronto,0.28925,2956,1492,1432,1435,2450,2450,2450,450,1995,1430,44864,38784,93824,79776
123,155,5350101.0,CT,Toronto,0.43013999999999997,3128,1595,1464,1460,2695,2695,2690,525,2170,1460,42021,37248,94720,81152
124,65,5350102.02,CT,Toronto,0.11565999999999999,4313,2688,2535,2535,3890,3890,3890,1030,2855,2535,39526,34688,75563,65984
125,80,5350102.03,CT,Toronto,0.13087000000000001,3682,2178,2095,2095,3305,3305,3305,680,2625,2095,51904,44373,80224,70400
126,15,5350102.04,CT,Toronto,0.10128999999999999,671,309,285,285,570,570,570,120,450,285,42112,37248,119552,100864
127,30,5350102.05,CT,Toronto,0.11899000000000001,861,359,340,340,690,690,690,120,570,340,40832,35712,131584,110592
128,145,5350103.0,CT,Toronto,0.83794,6050,2627,2527,2525,4895,4895,4895,1225,3670,2530,55040,46336,143189,117696
129,130,5350104.0,CT,Toronto,0.73732,5525,2141,2054,2055,4370,4375,4375,995,3375,2055,48704,41856,157477,127573
130,200,5350105.0,CT,Toronto,0.55453,4509,1917,1790,1790,3650,3650,3650,885,2765,1790,38016,33984,108629,92132
