,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5: 0 to 14 years,v_CA16_4: 0 to 14 years,v_CA16_6: 0 to 14 years,v_CA16_62: 15 to 64 years,v_CA16_61: 15 to 64 years,v_CA16_63: 15 to 64 years,v_CA16_245: 65 years and over,v_CA16_244: 65 years and over,v_CA16_246: 65 years and over,v_CA16_380: Average age,v_CA16_379: Average age,v_CA16_381: Average age,v_CA16_386: 0 to 14 years,v_CA16_385: 0 to 14 years,v_CA16_387: 0 to 14 years,v_CA16_389: 15 to 64 years,v_CA16_388: 15 to 64 years,v_CA16_390: 15 to 64 years,v_CA16_392: 65 years and over,v_CA16_391: 65 years and over,v_CA16_393: 65 years and over,v_CA16_395: 85 years and over
105,135,5350087.0,CT,Toronto,1.60971,5155,2652,2491,265,565,305,1375,2995,1615,715,1600,875,49.3,49.6,49.8,11.3,11.1,10.9,58.4,58.1,57.7,30.6,31,31.4,4
106,40,5350088.0,CT,Toronto,0.22973000000000002,3249,1997,1821,100,185,90,1065,2190,1130,365,875,515,46.7,48.2,49.6,6.6,5.7,4.9,69.5,67.3,65.5,23.9,26.9,29.9,4.3
107,35,5350089.0,CT,Toronto,0.32969,3896,2995,2345,70,155,85,1240,2665,1430,480,1075,595,48.9,49.1,49.3,4.2,4,3.8,69,68.4,67.8,26.5,27.6,28.2,4.2
108,55,5350090.0,CT,Toronto,0.39427,4144,2584,2347,130,295,165,1195,2650,1460,460,1190,730,47.7,49.2,50.3,7.3,7.1,7,66.8,64.1,61.8,26,28.9,31,4.7
109,245,5350091.01,CT,Toronto,0.51145,6031,3639,3224,145,300,155,2155,4380,2220,605,1355,750,43.4,44.1,44.8,5,5,5,74.2,72.6,71.2,20.8,22.5,23.8,2.4
110,230,5350091.02,CT,Toronto,0.32714,3525,2288,2009,130,255,120,1350,2830,1480,215,440,220,40.1,40.2,40.2,7.7,7.1,6.6,79.6,80.3,81.1,12.7,12.5,12.1,0.6
111,560,5350092.0,CT,Toronto,0.62885,7278,4113,3718,305,610,305,2805,5795,2990,425,875,455,38.1,38,38,8.6,8.3,8.1,79.3,79.6,79.7,11.9,12.1,12.1,0.8
112,550,5350093.0,CT,Toronto,0.61785,5652,2490,2291,355,755,405,1910,3935,2025,385,960,580,40.2,41.1,42,13.2,13.4,13.4,72.1,69.6,67.4,14.7,17.1,19.4,2.4
113,370,5350094.0,CT,Toronto,0.6389199999999999,4950,2177,2048,315,600,280,1735,3660,1925,315,690,375,39,40,40.9,13.5,12.1,10.8,73.2,73.9,74.7,13.3,13.9,14.5,1.7
114,270,5350095.0,CT,Toronto,0.31549,3095,1392,1319,165,320,155,1160,2315,1160,210,460,245,40.3,40.5,40.6,11.1,10.3,10,75.2,74.8,74.6,14,14.7,15.8,2
