,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_488: Total lone-parent families by sex of parent,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_497: Total - Lone-parent census families in private households - 100% data,v_CA16_502: Total - Persons not in census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_503: Total - Persons not in census families in private households - 100% data,v_CA16_505: One-census-family households,v_CA16_508: Multiple-census-family households,v_CA16_509: Non-census-family households
134,170,5350109.0,CT,Toronto,0.62602,5496,2299,2203,325,1260,325,600,1140,540,1460,55,685
135,60,5350110.0,CT,Toronto,0.5455399999999999,3577,1557,1434,215,795,215,390,785,385,900,55,480
136,25,5350111.0,CT,Toronto,0.45581000000000005,2507,968,902,165,590,170,160,335,175,670,40,190
137,140,5350112.0,CT,Toronto,0.5017199999999999,5295,2181,2035,305,1190,305,495,1000,505,1370,65,605
138,130,5350113.0,CT,Toronto,0.38225,2754,1197,1118,140,590,140,295,640,345,695,20,410
139,190,5350114.0,CT,Toronto,0.62462,5349,2471,2369,255,1050,255,635,1470,835,1235,35,1105
140,240,5350115.0,CT,Toronto,0.37543000000000004,4372,1670,1597,305,785,300,380,895,510,995,45,550
141,180,5350116.0,CT,Toronto,0.67913,4628,2044,1921,190,895,190,450,1095,645,1055,15,855
142,70,5350117.0,CT,Toronto,0.39107,2211,1165,1106,75,510,75,305,680,380,570,5,530
143,100,5350118.0,CT,Toronto,0.69384,4127,2183,1990,130,985,130,355,1080,725,1100,10,880
144,45,5350119.0,CT,Toronto,0.8519,4630,2485,2310,110,1070,110,460,1325,865,1155,10,1140
145,30,5350120.0,CT,Toronto,0.25722,1381,697,654,45,365,45,115,280,165,405,0,245
146,10,5350121.0,CT,Toronto,0.29736,2659,1629,1448,75,590,75,300,870,570,670,0,780
147,90,5350122.0,CT,Toronto,0.53381,6220,3655,3443,190,1395,190,730,2180,1445,1560,15,1870
148,25,5350123.0,CT,Toronto,0.07501000000000001,2268,1494,1467,80,415,85,505,1100,590,495,0,970
149,75,5350124.0,CT,Toronto,0.55675,5416,3470,3278,155,1140,155,760,2180,1420,1285,5,1990
