,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_2: Age Stats,v_CA16_3: Age Stats,v_CA16_418: Private households by household size,v_CA16_478: Total - Census families in private households by family size - 100% data,v_CA16_478: Total - Census families in private households by family size - 100% data.1,v_CA16_2201: Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2246: Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2345: Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,v_CA16_2396: Total - Income statistics in 2015 for private households by household size - 100% data,v_CA16_2399: Total - Income statistics in 2015 for one-person private households - 100% data,v_CA16_2402: Total - Income statistics in 2015 for two-or-more-person private households - 100% data,v_CA16_2405: Total - Household total income groups in 2015 for private households - 100% data,v_CA16_2446: Total - Income statistics in 2015 for economic families in private households - 100% data,v_CA16_2450: Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,v_CA16_2454: Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,v_CA16_2462: Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,v_CA16_5807: Bicycle
516,5350370.03,CT,Toronto,0.8572299999999999,4137,1409,1357,1990,2150,1360,1140,1140,3410,3415,3415,1355,260,1095,1355,1070,210,575,425,10
517,5350371.0,CT,Toronto,3.7152300000000005,7626,2691,2570,3730,3890,2570,2060,2060,6240,6240,6240,2570,555,2020,2570,1955,490,1005,840,20
518,5350372.0,CT,Toronto,1.33184,4346,1504,1440,2105,2240,1440,1225,1225,3730,3735,3735,1440,235,1200,1440,1175,285,635,410,0
519,5350373.0,CT,Toronto,0.9606899999999999,4806,1869,1801,2425,2385,1800,1315,1315,4070,4070,4070,1800,465,1340,1800,1270,315,590,745,15
520,5350374.01,CT,Toronto,1.18795,4848,1717,1656,2330,2515,1660,1415,1415,4155,4155,4150,1655,275,1375,1655,1355,300,745,475,15
521,5350374.02,CT,Toronto,0.80225,3215,1084,1053,1540,1675,1050,955,955,2820,2820,2820,1050,155,900,1055,890,235,455,290,10
522,5350374.03,CT,Toronto,0.80821,4184,1718,1655,1960,2225,1655,1140,1140,3670,3670,3670,1655,520,1135,1655,1090,305,495,795,0
523,5350375.01,CT,Toronto,0.95309,6324,2817,2733,2800,3525,2730,1780,1780,5525,5525,5525,2735,955,1775,2735,1735,505,715,1195,15
524,5350375.02,CT,Toronto,0.61463,1959,702,694,925,1035,695,570,570,1670,1675,1675,690,145,545,690,540,155,295,190,0
525,5350375.03,CT,Toronto,0.81361,5318,1917,1866,2540,2780,1865,1485,1485,4380,4375,4375,1870,385,1480,1865,1430,310,685,650,0
526,5350375.04,CT,Toronto,0.9242799999999999,5300,1667,1633,2555,2745,1630,1500,1500,4545,4540,4545,1635,180,1455,1630,1420,305,760,495,0
527,5350375.05,CT,Toronto,1.13069,7208,2484,2449,3335,3875,2450,1955,1955,5815,5815,5810,2450,505,1940,2450,1900,460,1005,695,10
528,5350376.01,CT,Toronto,1.04665,5094,1697,1584,2370,2725,1580,1405,1405,4290,4290,4290,1585,245,1340,1585,1315,280,620,560,10
529,5350376.02,CT,Toronto,0.8583,5176,1656,1614,2525,2655,1615,1470,1470,4295,4295,4290,1615,215,1400,1615,1370,265,735,510,15
530,5350376.04,CT,Toronto,1.1940600000000001,5460,1866,1804,2590,2865,1805,1535,1535,4415,4415,4415,1805,320,1485,1800,1480,445,730,490,0
531,5350376.05,CT,Toronto,1.30767,6860,2045,1998,3330,3525,1995,1940,1940,5955,5955,5955,1995,325,1670,2000,1755,490,910,920,10
532,5350376.06,CT,Toronto,2.19192,484,229,219,155,330,220,80,80,315,315,315,220,135,85,220,85,60,5,145,0
533,5350376.08,CT,Toronto,0.87879,6157,2176,2123,2905,3255,2125,1785,1785,5380,5380,5380,2120,400,1720,2125,1690,455,855,690,15
534,5350376.09,CT,Toronto,0.80105,4638,1644,1602,2170,2465,1600,1415,1415,4110,4110,4110,1605,280,1325,1600,1310,365,620,510,10
535,5350376.11,CT,Toronto,0.47043999999999997,3416,1067,1014,1685,1735,1015,925,925,2810,2810,2810,1015,105,905,1015,880,145,450,285,10
536,5350376.12,CT,Toronto,0.91215,5318,1922,1887,2445,2875,1890,1565,1565,4725,4725,4730,1885,385,1500,1890,1475,415,765,595,10
537,5350376.13,CT,Toronto,0.51098,3902,1386,1362,1810,2090,1365,1190,1190,3435,3440,3435,1365,265,1100,1365,1115,340,545,390,0
538,5350376.14,CT,Toronto,0.7362,3763,1091,1053,1830,1935,1050,1115,1115,3205,3205,3205,1050,70,980,1055,1020,245,585,305,0
539,5350376.15,CT,Toronto,0.92289,3696,1574,1518,1655,2040,1515,1165,1165,3385,3390,3390,1515,335,1185,1515,1155,495,400,475,0
540,5350376.16,CT,Toronto,0.27148,4226,1672,1621,1805,2420,1620,985,985,3060,3065,3065,1625,615,1010,1620,970,245,505,750,10
541,5350377.01,CT,Toronto,2.06027,8996,3752,3574,4440,4560,3570,2535,2535,7845,7840,7840,3575,980,2590,3570,2450,725,1115,1590,25
542,5350377.02,CT,Toronto,1.9059599999999999,4405,1493,1407,2110,2290,1410,1300,1300,3905,3905,3905,1405,200,1210,1405,1215,310,650,400,10
543,5350377.03,CT,Toronto,0.65012,2815,892,868,1390,1425,870,820,820,2460,2455,2455,865,95,770,870,770,185,415,280,10
544,5350377.04,CT,Toronto,0.8833200000000001,5939,1746,1682,2880,3065,1685,1740,1740,5090,5085,5090,1685,140,1540,1680,1550,320,910,435,20
545,5350377.06,CT,Toronto,0.51169,3809,1001,980,1905,1905,980,1070,1070,3320,3320,3320,980,70,910,980,960,195,540,450,0
546,5350377.07,CT,Toronto,0.76461,4857,1321,1282,2330,2525,1280,1325,1325,3910,3910,3910,1285,105,1180,1280,1210,280,675,415,20
547,5350378.02,CT,Toronto,1.05954,3257,979,929,1670,1590,930,870,870,2790,2790,2790,925,90,835,930,790,170,460,440,0
548,5350378.03,CT,Toronto,2.2069099999999997,7363,2503,2434,3530,3830,2435,2055,2055,6270,6275,6275,2435,420,2015,2435,1955,370,1015,740,10
549,5350378.04,CT,Toronto,1.27906,6148,1826,1753,3035,3115,1750,1625,1625,4860,4860,4865,1755,255,1495,1750,1465,250,865,480,10
550,5350378.05,CT,Toronto,0.7275699999999999,3907,1235,1201,1805,2100,1200,1090,1090,3170,3170,3170,1200,160,1045,1200,1025,160,530,280,0
551,5350378.06,CT,Toronto,1.7906,6063,1754,1671,2930,3135,1670,1635,1635,4910,4910,4910,1670,165,1505,1670,1485,180,915,370,10
552,5350378.07,CT,Toronto,2.80032,7099,2311,2226,3385,3720,2230,1945,1945,5860,5865,5865,2225,350,1880,2230,1845,405,945,635,0
553,5350378.08,CT,Toronto,0.88574,6263,1997,1953,3000,3260,1955,1845,1845,5425,5425,5425,1955,270,1680,1955,1680,340,945,490,10
554,5350378.11,CT,Toronto,0.9633700000000001,5693,1748,1713,2810,2880,1715,1530,1530,4680,4680,4685,1715,255,1455,1710,1415,205,855,485,0
555,5350378.12,CT,Toronto,0.78391,5181,1904,1828,2370,2815,1830,1410,1410,4195,4195,4195,1830,455,1375,1830,1335,245,585,605,10
556,5350378.14,CT,Toronto,0.9291299999999999,3892,1184,1168,1890,2005,1165,1100,1100,3215,3215,3215,1170,120,1050,1170,1050,195,600,285,10
557,5350378.16,CT,Toronto,0.63484,6103,2005,1923,2985,3120,1925,1690,1690,5110,5115,5115,1925,335,1590,1925,1555,290,920,510,10
558,5350378.17,CT,Toronto,0.47397,3336,961,903,1540,1795,905,885,885,2670,2670,2670,900,70,830,905,820,100,475,150,10
559,5350378.18,CT,Toronto,0.09093,2765,1114,1100,1280,1485,1100,835,835,2345,2345,2340,1100,265,835,1100,820,225,315,345,0
560,5350378.19,CT,Toronto,4.5159199999999995,5162,1438,1411,2555,2610,1410,1485,1485,4395,4400,4395,1415,110,1305,1410,1330,245,835,310,10
561,5350378.2,CT,Toronto,0.10951,2093,775,769,965,1135,770,660,660,1800,1795,1800,770,140,630,770,630,180,280,210,0
562,5350378.21,CT,Toronto,0.70181,3948,1056,1043,1935,2010,1045,1125,1125,3305,3305,3305,1040,60,985,1045,1025,210,600,285,0
563,5350378.22,CT,Toronto,0.53214,3454,891,877,1730,1725,880,995,995,2990,2985,2990,880,40,835,875,880,205,490,315,10
564,5350378.23,CT,Toronto,1.53025,4095,1334,1302,1960,2130,1305,1210,1210,3650,3650,3650,1300,195,1105,1300,1115,300,570,430,10
565,5350378.24,CT,Toronto,2.52877,6109,2218,2147,2790,3320,2145,1715,1715,5165,5160,5160,2145,525,1625,2145,1610,435,815,715,10
566,5350378.25,CT,Toronto,4.76673,7931,1885,1858,3900,4030,1855,2090,2090,6285,6280,6280,1860,70,1790,1860,1795,155,1380,240,10
567,5350378.26,CT,Toronto,1.66052,4761,1165,1144,2335,2430,1145,1300,1300,3915,3915,3915,1145,40,1110,1145,1110,110,830,105,10
568,5350378.27,CT,Toronto,20.2249,5806,1556,1530,2780,3025,1530,1570,1570,4620,4625,4625,1530,140,1390,1530,1395,145,960,275,0
569,5350378.28,CT,Toronto,2.25257,7175,2041,1925,3470,3705,1925,1995,1995,6020,6020,6020,1925,170,1755,1925,1755,225,1065,320,0
570,5350802.01,CT,Toronto,2.2159999999999997,3829,1290,1267,1905,1925,1270,1160,1160,3205,3210,3210,1270,145,1125,1270,1115,310,620,190,0
571,5350802.02,CT,Toronto,2.4403099999999998,5675,1844,1826,2750,2925,1825,1635,1635,4640,4635,4635,1825,225,1605,1825,1585,445,930,300,0
