GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_5809: Bicycle,v_CA16_5808: Bicycle,v_CA16_5807: Bicycle
5350216.00,CT,Toronto,1.9993,5532,2238,2163,25,30,50
5350217.00,CT,Toronto,1.33055,5692,2917,2756,25,25,50
5350218.00,CT,Toronto,0.683,2652,1060,1025,0,25,30
5350219.00,CT,Toronto,1.36063,4427,1690,1644,15,35,50
5350220.00,CT,Toronto,1.32212,4177,1597,1584,10,10,20
5350221.01,CT,Toronto,1.64542,6377,2751,2725,10,10,20
5350221.02,CT,Toronto,0.80501,5202,2167,2064,10,45,50
5350222.01,CT,Toronto,1.28483,6699,2626,2557,0,10,0
5350222.02,CT,Toronto,1.2002,5141,1830,1782,10,10,15
5350223.01,CT,Toronto,0.87242,1522,536,530,0,10,10
5350223.02,CT,Toronto,0.87247,2136,793,771,0,0,0
5350224.00,CT,Toronto,1.04417,1696,578,573,0,0,0
5350225.01,CT,Toronto,0.93466,4981,2387,2316,10,0,10
5350225.02,CT,Toronto,0.3048,9706,5006,4859,10,15,25
5350226.00,CT,Toronto,0.95333,3167,1262,1212,0,10,0
5350227.00,CT,Toronto,0.49184,1750,637,626,0,0,0
5350228.00,CT,Toronto,0.883,3131,1418,1362,15,20,30
5350229.00,CT,Toronto,0.32031,1223,393,384,0,0,0
5350230.01,CT,Toronto,1.50655,2537,1109,1082,0,0,10
5350230.02,CT,Toronto,0.98584,6537,2775,2606,0,10,10
5350231.00,CT,Toronto,3.02848,6461,2722,2566,10,15,20
5350232.00,CT,Toronto,2.04605,3825,1348,1306,0,0,0
5350233.00,CT,Toronto,2.0806,5530,2032,1982,0,0,0
5350234.00,CT,Toronto,2.11718,4524,1645,1600,0,0,0
5350235.01,CT,Toronto,1.40707,2841,1009,997,0,0,10
5350235.02,CT,Toronto,1.07805,5277,2039,2010,10,10,15
5350236.01,CT,Toronto,0.98685,6646,2560,2519,0,15,15
5350236.02,CT,Toronto,4.07421,5946,2284,2256,0,0,10
